cik,accession_nr,filing_date
1065521,106299324019049,2024-11-14
1065521,106299324019051,2024-11-14
1065521,106299325002489,2025-02-14
1065521,106299325009520,2025-05-15
1068855,95012324003708,2024-05-02
1068855,95012324006644,2024-07-18
1068855,95012324010027,2024-10-30
1068855,95012325000714,2025-01-30
1068855,95012325003633,2025-04-23
1068855,95012325006830,2025-07-31
1082327,108232724000060,2024-05-13
1082327,108232724000062,2024-08-09
1082327,108232724000128,2024-11-13
1082327,108232725000003,2025-02-14
1082327,108232725000011,2025-05-13
1089877,108987724000024,2024-05-14
1089877,108987724000030,2024-07-31
1089877,108987724000092,2024-10-31
1089877,108987725000002,2025-02-06
1089877,108987725000067,2025-04-28
1089877,108987725000075,2025-08-04
1103804,110380424000004,2024-05-15
1103804,110380424000006,2024-11-14
1103804,110380425000002,2025-02-14
1103804,110380425000004,2025-05-15
1103804,90514824002226,2024-08-14
1140022,114002224000007,2024-05-14
1140022,114002224000011,2024-08-02
1140022,114002224000019,2024-11-14
1140022,114002225000002,2025-02-13
1140022,114002225000006,2025-05-15
1164833,117266124002312,2024-05-14
1164833,117266124003386,2024-08-14
1164833,117266124005122,2024-11-14
1164833,117266125001129,2025-02-14
1164833,117266125001899,2025-05-14
1166559,110465924061949,2024-05-15
1166559,110465924089650,2024-08-14
1166559,110465924119000,2024-11-14
1166559,110465925014123,2025-02-14
1166559,110465925049456,2025-05-15
1167483,91957424003172,2024-05-15
1167483,91957424004713,2024-08-14
1167483,91957424006690,2024-11-14
1167483,91957425001475,2025-02-14
1167483,91957425003217,2025-05-15
1179392,89914025000265,2025-02-14
1179392,89914025000680,2025-05-15
1179392,91957424003138,2024-05-15
1179392,91957424004663,2024-08-14
1179392,91957424006611,2024-11-14
1191672,95012324004930,2024-05-14
